Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Kivi, A; Metsaranta, M; Toiviainen-Salo, S; Vanhatalo, S; Haataja, L",,,,"Kivi, Anna; Metsaranta, Marjo; Toiviainen-Salo, Sanna; Vanhatalo, Sampsa; Haataja, Leena",,,Profile of minor neurological findings after perinatal asphyxia,ACTA PAEDIATRICA,,,,,,,,,,,,"Aim To characterise the spectrum of findings in sequential neurological examinations, general movements (GM) assessment and magnetic resonance imaging (MRI) of infants with perinatal asphyxia. Methods The prospective cohort study of term infants with perinatal asphyxia treated at Helsinki University Hospital's neonatal units in 2016-2020 used Hammersmith Neonatal Neurological Examination (HNNE) and brain MRI at 2 weeks and Hammersmith Infant Neurological Examination (HINE) and GM assessment at 3 months of age. Results Analysis included 50 infants: 33 displaying perinatal asphyxia without hypoxic-ischaemic encephalopathy (HIE), seven with HIE1 and 10 with HIE2. Of the infants with atypical HNNE findings, 24/25 perinatal asphyxia without HIE cases, 5/6 HIE1 cases and all 10 HIE2 cases showed atypical findings in the HINE. The HINE identified atypical spontaneous movements significantly more often in infants with white matter T2 hyperintensity. Conclusion In this cohort, most infants with perinatal asphyxia, with or without HIE, presented atypical neurological findings in sequential examinations. The profile of neurological findings for children with perinatal asphyxia without HIE resembled that of children with HIE. White matter T2 hyperintensity was associated with atypical spontaneous movements in the HINE and was a frequent MRI finding also in perinatal asphyxia without HIE.",,,,,"Toiviainen-Salo, Sanna/HGB-7213-2022; Haataja, Leena/G-1160-2016; Haataja, Leena/GPG-3986-2022","Toiviainen-Salo, Sanna/0000-0003-1176-8165; Haataja, Leena/0000-0002-8057-6194; Vanhatalo, Sampsa/0000-0002-9771-7061; Tuiskula, Anna/0000-0003-3900-6429",,,,,,,,,,,,,0803-5253,1651-2227,,,,FEB,2022,111.0,2,,,,,291,299,,10.1111/apa.16133,0,,NOV 2021,,,,,,34599610.0000,,,,,WOS:000719468000001,0.0
J,"Venkata, SKRG; Pournami, F; Prabhakar, J; Nandakumar, A; Jain, N",,,,"Venkata, Sujith Kumar Reddy Gurram; Pournami, Femitha; Prabhakar, Jyothi; Nandakumar, Anand; Jain, Naveen",,,Disability Prediction by Early Hammersmith Neonatal Neurological Examination: A Diagnostic Study,JOURNAL OF CHILD NEUROLOGY,,,,,,,,,,,,"Background and Objectives: Hammersmith Neonatal Neurologic Examination (HNNE) is used to identify term and preterm infants at risk of neurodevelopmental disability. The test is recommended at corrected term age in preterm; and around 2 weeks postnatal age in term neonates. As the current trend is to discharge based on physiological stability, it may not be feasible to perform HNNE at recommended age. The authors investigated whether predictive ability of the test for neurodevelopmental disability remained unchanged if performed early (before discharge). Methods: The authors enrolled preterm and at-risk term neonates. HNNE PE was performed before discharge in all infants. The test was repeated in preterm infants at 40 weeks postmenstrual age and in term neonates at 2 weeks of age (HNNE RA). Neurodevelopmental disability was assessed at 1 year of age. Results: HNNE PE was done in 125 neonates (103 preterm, 22 term neonates). HNNE RA was done in 58% infants. Neurodevelopmental disability was assessed in 84 (67%) of infants. Neurodevelopmental disability was noted in 14/84 (16.6%) babies. The receiver operating characteristic curve of raw scores showed that area under the curve for HNNE PE (0.71) and HNNE RA (0.66) were similar. The sensitivity, specificity, positive predictive value, negative predictive value, positive likelihood ratio, and negative likelihood ratio for both the tests were similar for a cutoff optimality score of 32.5. HNNE PE could be performed up to 4 weeks earlier than HNNE RA with the same predictive ability for neurodevelopmental disability. Conclusions: HNNE PE was as reliable as HNNE RA in predicting neurodevelopmental disability at 1 year of age. Completion of the test is assured and provides several weeks lead time for early intervention.",,,,,,,,,,,,,,,,,,,0883-0738,1708-8283,,,,OCT,2020,35.0,11,,,,,731,736,8.83074E+14,10.1177/0883073820930487,0,,JUN 2020,,,,,,32516057.0000,,,,,WOS:000541342300001,0.0
J,"Connors, R; Sackett, V; Machipisa, C; Tan, K; Pharande, P; Zhou, L; Malhotra, A",,,,"Connors, Rebecca; Sackett, Vathana; Machipisa, Catherine; Tan, Kenneth; Pharande, Pramod; Zhou, Lindsay; Malhotra, Atul",,,Assessing the Utility of Neonatal Screening Assessments in Early Diagnosis of Cerebral Palsy in Preterm Infants,BRAIN SCIENCES,,,,,,,,,,,,"Background: Early diagnosis of cerebral palsy (CP) in high-risk infants is possible at 3-4 months' corrected age (CA) using standardised assessments. Aim: To assess the utility of neonatal screening assessments-writhing general movements (GMs) and the Hammersmith Neonatal Neurological Examination (HNNE)-to predict CP/high-risk status at 3-4 months' CA in extremely preterm infants. Methods: Retrospective cohort study of high-risk preterm infants (born < 29 weeks' gestation and/or birth weight < 1000 g) attending an Early Neurodevelopment Clinic. Data from neonatal assessments were compared with CP/high-risk diagnosis at 3-4 months' CA, fidgety GMs, and Hammersmith Infant Neurological Examinations (HINE) using logistic regression, linear regression, and Spearman rank correlation. Results: Two hundred and two preterm infants (median gestation age at birth 27.3 (IQR 25.4-28.3) weeks, mean birth weight 870.3 (SD 248.4) grams) were included. A total of 26 (12.8%) infants received early CP/high-risk diagnoses at 3-4 months' CA. A lower gestational age (GA) (OR = 0.78; p = 0.029, 95% CI [0.26, 0.97]) and abnormal writhing GMs (OR 1.56; p = 0.019, 95% CI [1.07, 2.27]) were predictive of CP/high-risk diagnosis. Although after adjustment for sex, GA, birth weight, and growth restriction, GA (aOR = 0.67; p = 0.068, 95% CI [0.44, 1.03]) and writhing GMs (aOR = 1.44; p = 0.087, 95% CI [0.95, 2.20]) were not significant, a strong trend still persisted. The HNNE scores significantly correlated with both the HINE evaluation (r(s) = 0.43, p < 0.001, 95% CI [0.31, 0.56]) and fidgety GMs (r(s) = -0.10, p = 0.012, 95% CI [ -0.32, -0.04]). Linear regression confirmed the HNNE was highly predictive of the HINE (correlation coefficient 0.82; p < 0.001, 95% CI [0.48, 1.15]). Writhing GMs did not significantly correlate with either fidgety GMs (p = 0.723, 95% CI [ -0.12, 0.17]) or the HINE (p = 0.173, 95% CI [-0.24, 0.04]). Conclusions: Abnormal writhing GMs in the neonatal period were non-significantly associated with early CP/high-risk diagnoses in extremely preterm infants in a multivariate analysis. Additionally, the HNNE significantly correlated with both fidgety GMs and the HINE.",,,,,,"Tan, Kenneth/0000-0002-1931-0549; Zhou, Lindsay/0000-0002-3013-5040; Malhotra, Atul/0000-0001-9664-4182",,,,,,,,,,,,,,2076-3425,,,,JUL,2022,12.0,7,,,,,,,847,10.3390/brainsci12070847,0,,,,,,,,35884654.0000,,,,,WOS:000834457200001,0.0
J,"Adiguzel, H; Sarikabadayi, YU; Elbasan, B",,,,"Adiguzel, Hatice; Sarikabadayi, Yusuf Unal; Elbasan, Bulent",,,Investigation of the effectiveness of family collaborative physiotherapy programs applied to high-risk infants,PHYSIOTHERAPY THEORY AND PRACTICE,,,,,,,,,,,,"Background The inclusion of families in intervention programs for infants may be more effective in ensuring adherence and positive outcomes. Approaches that include natural and enriched environments that provide communication and family interaction are important in the rehabilitation of high-risk infants. Objective To compare the effectiveness of Family Collaborative Approach (FCA) and Neurodevelopmental Therapy (NDT)-based family training. Methods High-risk infants (n = 63) with a mean age of 32.60 +/- 4.53 months received early intervention for 12 weeks. Prechtl's General movements (GMs) assessment, Hammersmith Neonatal Neurological Examination (HNNE), Hammersmith Infant Neurological Examination (HINE), BAYLEY-III Scales of Infant and Toddler Development, and Third Addition (BSID-III) were performed. Results Significant differences between groups were found in HINE scores at the 3rd, 6th, and 12th months (p <= .028), and in BSID-III scores at the 6th month (cognitive, language, and motor) (p < .001) and the 12th month (language) (p = .031). There was significant difference between NDT and control group in 3rd month HINE scores and Reflex&Reactions scores (p <= .021). FCA group and NDT group was significantly different from control group in 6th month HINE (p = .032) and 12th month HINE scores (p = .007). FCA group significantly different from NDT group (p <= .002) and control group (p < .001) in 6th month BSID-III cognitive, and motor scores. There was significant difference between FCA and control group in 12 month BSID-III language scores (p = .024). Conclusions Early physiotherapy interventions were effective in high-risk infants and FCA program was superior to NDT.",,,,,"adıgüzel, hatice/AAG-7874-2019","adıgüzel, hatice/0000-0001-9323-839X",,,,,,,,,,,,,0959-3985,1532-5040,,,,,,,,,,,,,,,10.1080/09593985.2022.2062504,0,,APR 2022,,,,,,35387569.0000,,,,,WOS:000779239900001,0.0
J,"Chin, EYJ; Baral, VR; Ereno, IL; Allen, JC; Low, K; Yeo, CL",,,,"Chin, En Yi Joanne; Baral, Vijay R.; Ereno, Imelda L.; Allen, John C.; Low, Kelly; Yeo, Cheo Lian",,,Evaluation of neurological behaviour in late-preterm newborn infants using the Hammersmith Neonatal Neurological Examination,JOURNAL OF PAEDIATRICS AND CHILD HEALTH,,,,,,,,,,,,"Aim We hypothesise that clinically well late-preterm infants (LPI) (34(+0)-36(+6) weeks) are neurologically more immature than their term counterparts, and this immaturity persists even when these infants reach term-corrected age (TCA). The primary aim of our study was to characterise and contrast the neurodevelopmental profile of well LPI with full-term infants (FTI) (39(+0)-41(+6) weeks) using the Hammersmith Neonatal Neurological Examination (HNNE). Our secondary aim was to obtain local reference ranges for the 34 items in the HNNE in an Asian-dominant population. Methods LPI were assessed at two time points: 12-72 h of life and at TCA of 39(+0)-41(+6) weeks, while FTI were assessed at 12-72 h of life using the HNNE. Each of the 34 items on the HNNE was assigned an optimality score (OS) of 0, 0.5 or 1, totalling up to 34. A quantitative comparison of the neurobehavioral patterns was made using two-sample t-tests. Results A total of 212 infants (79 LPI and 133 FTI) were recruited. Mean OSs for LPI and FTI at birth were (25.11 +/- 3.36)/34 and (31.19 +/- 1.50)/34, respectively, with a mean difference of 6.08 (P value <0.0001). The mean OS for LPI on reaching TCA was (28.91 +/- 2.30)/34, with a mean difference of 2.28 (P value <0.0001). Reference OSs for the 34 items on the HNNE were also obtained. Conclusion LPI are more immature than their term counterparts even on reaching TCA, with discrepancies most apparent in 'tone' and 'movement'. We provide reference OSs of 34 items in the HNNE for infants in an Asian-dominant population.",,,,,"Baral, Vijay/GYJ-0575-2022",,,,,,,,,,,,,,1034-4810,1440-1754,,,,MAR,2019,55.0,3,,,,,349,357,,10.1111/jpc.14205,0,,,,,,,,30242935.0000,,,,,WOS:000460183100015,0.0
J,"Romeo, DMM; Cioni, M; Palermo, F; Cilauro, S; Romeo, MG",,,,"Romeo, Domenico M. M.; Cioni, Matteo; Palermo, Filippo; Cilauro, Salvo; Romeo, Mario G.",,,Neurological assessment in infants discharged from a neonatal intensive care unit,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,,,,,,,,,,,,"Background: Longitudinal motor assessment in infants at different neurodevelopmental risk has not been previously evaluated using structured assessments. Aim: To verify if the Hammersmith Infant Neurological Examination (HINE) is a good tool to predict the neuromotor outcome in infants discharged from a level II-III Neonatal Intensive Care Unit (NICU) Methods: In this cohort analysis, 1541 infants discharged from our NICU between January of 2002 and the April 2006 were enrolled and assessed using the HINE at 3, 6, 9, 12 months. At two years, these infants were further assessed, and grouped into infants with normal outcome (1150), with mild disability (321) and with cerebral palsy (70), Results: Correlation analysis of Spearman showed a significant (p < 0.0001) and moderate (r(2) = -0.55 to -0.73) negative correlation between HINE scores (3, 12 months) and neurological outcome at two years. Cut-off scores for each assessment' age were provided as predictive value for cerebral palsy. Discussion: This study mainly showed that HINE, as soon as the first months of life, helps in the process of prediction of neurological outcome at two years of age in a heterogeneous population of infants discharged from an NICU. (C) 2012 European Paediatric Neurology Society. Published by Elsevier Ltd. All rights reserved.",,,,,"Romeo, Domenico/AFM-6244-2022; Romeo, Domenico M/K-7957-2016","Romeo, Domenico M/0000-0002-6229-1208; CIONI, Matteo/0000-0002-7594-6939",,,,,,,,,,,,,1090-3798,1532-2130,,,,MAR,2013,17.0,2,,,,,192,198,,10.1016/j.ejpn.2012.09.006,0,,,,,,,,23062755.0000,,,,,WOS:000316166900011,0.0
J,"Romano, C; Giacchi, V; Mauceri, L; Pavone, P; Taibi, R; Gulisano, M; Rizzo, R; Ruggieri, M; Falsaperla, R",,,,"Romano, Catia; Giacchi, Valentina; Mauceri, Laura; Pavone, Piero; Taibi, Rosaria; Gulisano, Mariangela; Rizzo, Renata; Ruggieri, Martino; Falsaperla, Raffaele",,,Neurodevelopmental outcomes of neonatal non-epileptic paroxysmal events: a prospective study,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,,,,,,,,,,,,"Aim To report on psychomotor development and outcomes in term born neonates with non-epileptic paroxysmal events (NEPEs). Method From October 2017 to March 2019 we enrolled 38 consecutive term born neonates (22 males, 16 females; aged between 0-28d), born at the University Hospital San Marco in Catania, Italy, with NEPEs. We performed the Hammersmith Neonatal Neurological Examination scale (at enrolment), the Hammersmith Infant Neurological Examination (HINE) scale (at age 3, 6, 9, and 12mo), and the Griffiths scale (at age 12mo). Results The age at onset of first paroxysmal manifestations ranged from birth to 4 days. We recorded a suboptimal global score in 18 out of 38 patients at enrolment and in 10 out of 38 patients at age 3 months (>70% of these infants were male); all events disappeared within 6 months of life. At age 6, and 12 months, all infants scored within normal values on the HINE and Griffiths scale. Interpretation Patients with NEPEs achieve neurodevelopment optimal scores within their first year of life.",,,,,"Ruggieri, Martino Michele Lucio Giovanni/A-3055-2014; Pavone, Piero/H-5097-2019","Pavone, Piero/0000-0002-5600-9560; Giacchi, Valentina/0000-0002-9485-3017; Falsaperla, Raffaele/0000-0002-4482-3506",,,,,,,,,,,,,0012-1622,1469-8749,,,,MAR,2021,63.0,3,,,,,343,348,,10.1111/dmcn.14784,0,,DEC 2020,,,,,,33336794.0000,,,,,WOS:000599612100001,0.0
J,"Howard, GT; Baque, E; Colditz, PB; Chatfield, MD; Ware, RS; Boyd, RN; George, JM",,,,"Howard, Grace T. T.; Baque, Emmah; Colditz, Paul B. B.; Chatfield, Mark D. D.; Ware, Robert S. S.; Boyd, Roslyn N. N.; George, Joanne M. M.",,,Diagnostic accuracy of the Hammersmith Neonatal Neurological Examination in predicting motor outcome at 12 months for infants born very preterm,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,,,,,,,,,,,,"AimTo evaluate the predictive validity of the Hammersmith Neonatal Neurological Examination (HNNE) performed early (at 32 weeks postmenstrual age) and at term-equivalent age (TEA) for 12-month motor outcomes in infants born very preterm. MethodThis was a diagnostic study using data from a prospective birth cohort. A total of 104 infants born preterm at less than 31 weeks gestational age (males n = 61; mean = 28 weeks 1 day [SD 1 week 6 days], range 23 weeks 1 day-30 weeks 6 days) underwent HNNE early and at TEA, which were scored by comparison with term data. Motor outcomes at 12 months corrected age were determined using the Bayley Scales of Infant and Toddler Development, Third Edition (scores <= 85). Cut-off points were determined using receiver operating characteristic curves. ResultsSixteen (15%) infants born preterm had motor impairment at 12 months corrected age. The HNNE total score cut-off points with the best combination of sensitivity and specificity at early and TEA assessments were 15.2 or lower (sensitivity 77%, 95% confidence interval [CI] = 46%-95%; specificity 74%, 95% CI = 63%-83%) and 23.5 or lower (sensitivity 67%, 95% CI = 38%-88%; specificity 66%, 95% CI = 54%-76%) respectively. The most predictive subscale at the early assessment was reflexes (sensitivity 86%, 95% CI = 57%-98%; specificity 62%, 95% CI = 51%-72%; cut-off point <= 3); at TEA, it was spontaneous movements (sensitivity 73%, 95% CI = 45%-92%; specificity 60%, 95% CI = 48%-70%; cut-off point <= 2). InterpretationThe HNNE provides moderate predictive accuracy for motor outcome at 12 months corrected age in infants born very preterm. Although modest at both time points, early assessment had stronger predictive ability for motor outcomes than TEA when scored using term data, highlighting the value of performing the HNNE earlier in the neonatal period. Performing HNNE earlier may assist risk stratification when planning follow-up services.",,,,,"George, Joanne Margaret/R-3812-2016; Chatfield, Mark/N-2278-2013; Ware, Robert/B-2024-2014; Colditz, Paul/F-6772-2010","George, Joanne Margaret/0000-0003-4893-6564; Chatfield, Mark/0000-0002-0004-6274; Ware, Robert/0000-0002-6129-6736; Colditz, Paul/0000-0002-6408-8238; Baque, Emmah/0000-0002-9659-5859; Howard, Grace/0000-0001-8218-1690",,,,,,,,,,,,,0012-1622,1469-8749,,,,,,,,,,,,,,,10.1111/dmcn.15512,0,,JAN 2023,,,,,,36683126.0000,,,,,WOS:000919132800001,0.0
J,"Harpster, K; Merhar, S; Illapani, VSP; Peyton, C; Kline-Fath, B; Parikh, NA",,,,"Harpster, Karen; Merhar, Stephanie; Illapani, Venkata Sita Priyanka; Peyton, Colleen; Kline-Fath, Beth; Parikh, Nehal A.",,,"Associations Between Early Structural Magnetic Resonance Imaging, Hammersmith Infant Neurological Examination, and General Movements Assessment in Infants Born Very Preterm",JOURNAL OF PEDIATRICS,,,,,,,,,,,,"Objective To evaluate the prevalence and associations between structural magnetic resonance imaging (sMRI) injury/abnormality at term-equivalent age and absent fidgety General Movements Assessment (GMA) and abnormal Hammersmith Infant Neurological Examination (HINE) scores among infants born very preterm at 3-4 months of corrected age. Study design This prospective cohort study enrolled 392 infants born <= 2 weeks of gestation from 5 neonatal intensive care units in the greater Cincinnati area between September 2016 and October 2019. Infants completed sMRI at term-equivalent age and GMA and HINE at 3-4 months of corrected age. All assessors were blinded. Results Of 392 infants, 375 (96%) had complete data. Of these, 44 (12%) exhibited moderate or severe brain abnormalities, 17 (4.5%) had abnormal GMA, and 77 (20.3%) had abnormal HINE. Global and regional abnormality scores on sMRI were significantly correlated with GMA (R-2 range 0.05-0.17) and HINE at 3-4 months of corrected age (R-2 range 0.01-0.17). These associations remained significant in multivariable analyses after adjusting for gestational age and sex. There was a significant but low correlation (R-2 0.14) between GMA and HINE. Conclusions We observed a low prevalence of moderate or severe brain abnormalities in survivors born very preterm in this geographically defined cohort. The much greater prevalence of abnormal motor examination on the HINE compared with GMA and their low correlation suggests that these tests evaluate different constructs and, thus, should be used in combination with sMRI rather than interchangeably.",,,,,"Peyton, Colleen/ABE-6565-2021; Parikh, Nehal/AAB-9981-2022","Harpster, Karen/0000-0003-1677-6367",,,,,,,,,,,,,0022-3476,1097-6833,,,,MAY,2021,232.0,,,,,,80,+,,10.1016/j.jpeds.2020.12.056,0,,APR 2021,,,,,,33453201.0000,,,,,WOS:000642520200018,0.0
J,"Lawford, HLS; Nuamah, MA; Liley, HG; Lee, ACC; Kumar, S; Adjei, AA; Bora, S",,,,"Lawford, Harriet L. S.; Nuamah, Mercy A.; Liley, Helen G.; Lee, Anne C. C.; Kumar, Sailesh; Adjei, Andrew A.; Bora, Samudragupta",,IMPRINT Study Grp,Neonatal neurological examination in a resource-limited setting: What defines normal?,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,,,,,,,,,,,,"Objective: To describe the results of the Hammersmith Neonatal Neurological Examination (HNNE) in a low-risk, term-born, contemporary sample in Ghana. Of particular interest was to compare these findings with the original British study that validated the HNNE, and published data from other low- and middle-income countries. Study design: In a nested substudy of a larger prospective study (IMPRINT: Impact of Malaria in Pregnancy on Infant Neurodevelopment), 140 low-risk, term-born neonates (39.3 +/- 1.4 weeks gestation) at Korle Bu Teaching Hospital in Accra, Ghana were administered the 34-item HNNE from birth to 48 h of age by trained physicians. Neonates' performance was compared with previously published normative data from the United Kingdom (1998), and published data from Thailand, Myanmar, Vietnam, and Uganda. Results: Ghanaian neonates demonstrated lower scores on 29/34 HNNE items relative to normative data from the United Kingdom (P < .05), with only 5% of Ghanaian neonates in our sample classified as neurologically optimal. There were significant differences in the proportion of neonates scoring optimally per HNNE item between our Ghanaian sample, compared with published data from other settings (Thai [13/16 items], Burmese [14/16 items], Vietnamese [7/9 items], and Ugandan [22/34 items] neonates). Raw scores were markedly different between Ghanaian and British neonates, with Ghanaian neonates demonstrating lower median and wider range of scores. These differences were less prominent between Ghanaian and Ugandan neonates. Conclusion: Our findings raise questions as to whether or not the thresholds for optimality for the HNNE based on data from the United Kingdom are applicable to Ghanaian newborns. Our study could not fully resolve whether the differences in scores were due to genetic differences in developmental pathways, the implementation of the assessment, or the characteristics of our sample. Low proportions of neonates scoring optimally from other low- and middle-income countries suggest the need for further research to determine the clinical utility of the HNNE in resource-limited settings, including the predictive value for neurodevelopment later in infancy. (C) 2020 European Paediatric Neurology Society. Published by Elsevier Ltd. All rights reserved.",,,,,"Liley, Helen Gwendolin/C-5608-2011","Liley, Helen Gwendolin/0000-0002-8249-9516; Lawford, Harriet/0000-0002-9699-8201",,,,,,,,,,,,,1090-3798,1532-2130,,,,NOV,2020,29.0,,,,,,71,80,,10.1016/j.ejpn.2020.08.010,0,,,,,,,,33036879.0000,,,,,WOS:000602702900010,0.0
